movieId,title,genres
2055,Hot Lead and Cold Feet (1978),Action|Comedy|Western
1572,"Contempt (Mépris, Le) (1963)",Drama
81949,"Romantics, The (2010)",Comedy|Drama|Romance
105801,Escape From Tomorrow (2013),Drama|Fantasy|Horror
4977,Kandahar (Safar e Ghandehar) (2001),Drama
2402,Rambo: First Blood Part II (1985),Action|Adventure|Thriller
102194,Mud (2012),Adventure|Crime|Drama
107997,We Are What We Are (2013),Drama|Horror|Mystery|Thriller
180263,The Shining (1997),Drama|Horror|Thriller
2742,Ménage (Tenue de soirée) (1986),Comedy|Drama
